COLUNA_CONTROLE,ORIGEM_MIC,REGRA
URF,Item 24,"Inferir FOZ, GUAIRA, SANTA HELENA, MUNDO NOVO, DIONISIO CERQUEIRA conforme Aduana de destino"
IMPORTADOR,Item 34,"Destinatário; remover apenas prefixos NOMBRE/NOME"
EXPORTADOR,Item 33,"Remetente; remover apenas prefixos NOMBRE/NOME"
MERCADORIA,Item 38,"Preservar descrição extraída"
FATURA,Item 36,"Extrair número da FACTURA DE EXPORTACION preservando zeros; exemplo 001-002-0000255"
DI,N/A,"Manter vazio quando não houver fonte confiável"
PROCESSO,N/A,"Manter vazio quando não houver fonte confiável"
CRT,Item 23,"Preservar Nº carta de porte/CRT; exemplo PY290200084"
TRANSPORTADORA,Item 1,"Nome/endereço do transportador"
DATA REGISTRO,N/A,"Base importada ou preenchimento manual"
DATA LIBERAÇÃO,N/A,"Base importada ou preenchimento manual"
ARQUIVO,PDF,"Nome do PDF processado"
ATUALIZAÇÃO,Sistema,"Data/hora da sincronização"
